timeframe,tier,exists,bytes,mtime_utc,sha256,vs_baseline
1d,factor_selection,true,11915,2026-08-14T05:41:28+00:00,B6CE50C27CAE6601FC0CED1CB650475BF471C337211D5C89D98B1FEB8432A2BB,UNCHANGED
4h,factor_selection,true,11827,2026-08-14T10:03:18+00:00,BAE924AA39D5DDA300030052B5C69A55DA94DC230A30931ECFDE911BD1592918,UNCHANGED
1h,factor_selection,true,11816,2026-08-14T08:52:20+00:00,89F17D02C7A4B6314A785DC8783836F88B233F9F04A83AD76D94E3AFEEC10022,UNCHANGED
15m,factor_selection,true,11813,2026-08-14T05:18:54+00:00,898A40F41AF52452DB3D170C667DD6A2678CB7B9317C7A2D48CC7518DBE12788,UNCHANGED
5m,factor_selection,true,11812,2026-08-14T10:12:20+00:00,1C80C6679DAA8133CED64C9D7978F02E4E9742CEBEECECB4DA4289F569F97FB0,UNCHANGED
1d,walk_forward,true,185255,2026-08-14T11:09:42+00:00,B2391EE4ECBCD89E145015A488789415C410F6A5C050A818192EAEB7DFE58469,CHANGED
4h,walk_forward,true,141704,2026-08-11T10:38:14+00:00,888C4613FA4D3DD8D3345AF9F134D13DCAC2EF35641C073234EAB68E19C01C8F,UNCHANGED
1h,walk_forward,true,470948,2026-08-11T10:34:44+00:00,735E0D62872F436A2BFA9A6A84E9EC5CBC4602703C5C7B43A4CA2462F2476373,UNCHANGED
15m,walk_forward,true,226656,2026-08-11T10:27:42+00:00,97A8BA631707E8E74FBD13BC1577D5AE9EB9156A3F223B6D1D7F4D3882A73806,UNCHANGED
5m,walk_forward,true,390938,2026-08-11T10:24:40+00:00,937C16B8A98BF5C0C7F95CEA80A9A8B2EAA6EE2828423298951057995730E22D,UNCHANGED
1d,factor_validation,true,13281,2026-08-12T15:52:14+00:00,B7935E021B31BAD5BE9017577FCD49243A1E022480A47F44A5B6D5D2C4058137,UNCHANGED
4h,factor_validation,true,14365,2026-08-12T15:58:50+00:00,E49A86299CD989A8B1F5B91ABF90E92647993250A71351391EA2F9752F481EED,UNCHANGED
1h,factor_validation,true,14444,2026-08-12T16:16:00+00:00,315EF539F46E94A7B28AB902D98E88D4B79EB7BD666687E5FCED6FF1B7C3CC30,UNCHANGED
15m,factor_validation,true,14425,2026-08-12T16:19:54+00:00,57FEF604E3F24DA6FBEEC836D5ADCB2979452DAA906A5C60639DA89CCAC38CB2,UNCHANGED
5m,factor_validation,true,14455,2026-08-12T16:26:00+00:00,7F81C68E92FD51058DA13F54CDBA3E8F2981357F69D7F4E75A7FFB9474DA213D,UNCHANGED
1d,purged_cv,true,5996,2026-08-12T14:41:42+00:00,C517DC596ABE5F397FF16B0713CCD8781B0DF8B23569BA1C1934F357496A15FB,UNCHANGED
4h,purged_cv,true,5989,2026-08-11T11:09:16+00:00,2185AB07C048E97C64155BE3004E7DB7C1FFA3101FA39FCA58DFBC6EE46DD1D4,UNCHANGED
1h,purged_cv,true,5984,2026-08-11T11:09:16+00:00,249A8119215FA02CBEAFE2D7E946412CD7441F9E456339A5613EB59D702F0767,UNCHANGED
15m,purged_cv,true,5998,2026-08-11T11:09:16+00:00,7D6EF28BD26F4A3CAE4E15A3CDBB3DEE5F89CD1625CACFDF61E14723ADE7AE4E,UNCHANGED
5m,purged_cv,true,5995,2026-08-11T11:09:18+00:00,15F3745A9CEAFE9C62076B38641C72C752A199D7765B3C7E9EB59FC41665FA26,UNCHANGED
