factor_name,factor_version,timeframe,selected,selection_rank,selection_score,selection_reason,selection_ic,selected_direction,orientation_policy,status
accumulation_distribution,1.0.0,15m,false,51,0.28038449604950644,outside_candidate_n,0.0006559321006414453,1,signed_ic_v1,REJECTED
aggressive_buy_ratio,1.0.0,15m,false,49,0.2818889636807284,outside_candidate_n,-0.007403212934676165,-1,signed_ic_v1,REJECTED
aggressive_sell_ratio,1.0.0,15m,true,28,0.38322505995950784,top_n,0.0074295224750394896,1,signed_ic_v1,SELECTED
atr_distance,1.0.0,15m,false,66,0.23972076188418662,outside_candidate_n,0.0009378473147335213,1,signed_ic_v1,REJECTED
atr_percent,1.0.0,15m,false,40,0.3319928965361338,redundant,-0.004219131964938586,-1,signed_ic_v1,REJECTED
atr_slope,1.0.0,15m,false,57,0.2607403956606467,outside_candidate_n,-0.0020626955709323633,-1,signed_ic_v1,REJECTED
bollinger_bandwidth,1.0.0,15m,false,43,0.3188859883305488,outside_candidate_n,-0.003910953802736875,-1,signed_ic_v1,REJECTED
bollinger_position,1.0.0,15m,false,7,0.5555132512313483,redundant,-0.026643808480595863,-1,signed_ic_v1,REJECTED
bollinger_width,1.0.0,15m,false,65,0.2405673701033948,outside_candidate_n,-0.0008318452585322134,-1,signed_ic_v1,REJECTED
breakout_strength,1.0.0,15m,true,20,0.47698596203997445,top_n,-0.015791818925823695,-1,signed_ic_v1,SELECTED
buy_sell_imbalance,1.0.0,15m,false,53,0.2776754525828875,outside_candidate_n,-0.012132364580365122,-1,signed_ic_v1,REJECTED
chaikin_money_flow,1.0.0,15m,false,39,0.3392515569760677,outside_top_n,-0.008981365547619285,-1,signed_ic_v1,REJECTED
choppiness_index,1.0.0,15m,false,59,0.2575797902867751,outside_candidate_n,0.0020442967366903738,1,signed_ic_v1,REJECTED
commodity_channel_index,1.0.0,15m,false,19,0.4949852564802149,redundant,-0.01918493122903268,-1,signed_ic_v1,REJECTED
detrended_price_oscillator,1.0.0,15m,false,46,0.29532345486362954,outside_candidate_n,0.002291317967634507,1,signed_ic_v1,REJECTED
distance_from_high,1.0.0,15m,false,21,0.464952611473481,redundant,-0.014332753644703067,-1,signed_ic_v1,REJECTED
distance_from_low,1.0.0,15m,true,6,0.5664360445402025,top_n,-0.0208479684687692,-1,signed_ic_v1,SELECTED
donchian_position,1.0.0,15m,false,17,0.4983527821752055,redundant,-0.021814362195174814,-1,signed_ic_v1,REJECTED
ease_of_movement,1.0.0,15m,false,48,0.2910427626232297,outside_candidate_n,-0.004346023177235393,-1,signed_ic_v1,REJECTED
efficiency_ratio,1.0.0,15m,false,63,0.24857293056187607,outside_candidate_n,-0.002933656422345894,-1,signed_ic_v1,REJECTED
ema_distance,1.0.0,15m,true,3,0.5900684261802505,top_n,-0.023859163605621826,-1,signed_ic_v1,SELECTED
funding_acceleration,1.0.0,15m,false,68,0.23654955590393933,outside_candidate_n,-0.0026860723388332803,-1,signed_ic_v1,REJECTED
funding_rate_level,1.0.0,15m,true,24,0.4289180357140044,top_n,0.010374640415135864,1,signed_ic_v1,SELECTED
funding_rate_momentum,1.0.0,15m,true,31,0.35806809600200573,top_n,0.006235968696394031,1,signed_ic_v1,SELECTED
funding_rate_zscore,1.0.0,15m,false,45,0.29574346013933667,outside_candidate_n,0.002993252018236138,1,signed_ic_v1,REJECTED
funding_volatility,1.0.0,15m,false,56,0.2717346802617268,outside_candidate_n,-0.001394601915837987,-1,signed_ic_v1,REJECTED
garman_klass_volatility,1.0.0,15m,false,41,0.32795678734583267,outside_candidate_n,-0.005354625926253707,-1,signed_ic_v1,REJECTED
historical_volatility,1.0.0,15m,false,37,0.34283515471247045,outside_top_n,-0.00522217446370387,-1,signed_ic_v1,REJECTED
leverage_change,1.0.0,15m,false,58,0.2580087732717969,outside_candidate_n,0.0019000657484385083,1,signed_ic_v1,REJECTED
linear_regression_r2,1.0.0,15m,false,67,0.2389776604380073,outside_candidate_n,-0.0012178551828103549,-1,signed_ic_v1,REJECTED
