factor_name,factor_version,timeframe,selected,selection_rank,selection_score,selection_reason,selection_ic,selected_direction,orientation_policy,status
accumulation_distribution,1.0.0,1d,false,58,0.22402147791668037,outside_candidate_n,-0.002499081206365566,-1,signed_ic_v1,REJECTED
aggressive_buy_ratio,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
aggressive_sell_ratio,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
atr_distance,1.0.0,1d,false,49,0.2708611833243358,outside_candidate_n,0.0021602363342791498,1,signed_ic_v1,REJECTED
atr_percent,1.0.0,1d,true,29,0.38140092826722866,top_n,0.002586524038704376,1,signed_ic_v1,SELECTED
atr_slope,1.0.0,1d,false,55,0.2351557095381863,outside_candidate_n,-0.0020208765560122636,-1,signed_ic_v1,REJECTED
bollinger_bandwidth,1.0.0,1d,true,8,0.4976738042795527,top_n,-0.014005674515805453,-1,signed_ic_v1,SELECTED
bollinger_position,1.0.0,1d,false,15,0.445955774680883,redundant,-0.020312179748772922,-1,signed_ic_v1,REJECTED
bollinger_width,1.0.0,1d,false,48,0.2890983109066322,outside_candidate_n,0.0035900405184291074,1,signed_ic_v1,REJECTED
breakout_strength,1.0.0,1d,false,45,0.2970599059864164,outside_candidate_n,-0.022428514875872167,-1,signed_ic_v1,REJECTED
buy_sell_imbalance,1.0.0,1d,false,56,0.23164711128578241,outside_candidate_n,-0.00619425379291046,-1,signed_ic_v1,REJECTED
chaikin_money_flow,1.0.0,1d,false,44,0.300430724418648,outside_candidate_n,-0.0015201714700836752,-1,signed_ic_v1,REJECTED
choppiness_index,1.0.0,1d,true,27,0.3885144552505786,top_n,0.009913929112427434,1,signed_ic_v1,SELECTED
commodity_channel_index,1.0.0,1d,false,26,0.39400994212778495,redundant,-0.02320339189247334,-1,signed_ic_v1,REJECTED
detrended_price_oscillator,1.0.0,1d,false,43,0.30685204284322887,outside_candidate_n,0.00035623074978430964,1,signed_ic_v1,REJECTED
distance_from_high,1.0.0,1d,false,50,0.2672382874083742,outside_candidate_n,-0.009912011466961272,-1,signed_ic_v1,REJECTED
distance_from_low,1.0.0,1d,true,2,0.6318182181026931,top_n,-0.03455195556097853,-1,signed_ic_v1,SELECTED
donchian_position,1.0.0,1d,true,23,0.40282393263092087,top_n,-0.01364990196092553,-1,signed_ic_v1,SELECTED
ease_of_movement,1.0.0,1d,false,53,0.2460831209138633,outside_candidate_n,0.0015656838966473018,1,signed_ic_v1,REJECTED
efficiency_ratio,1.0.0,1d,false,54,0.2408249742710945,outside_candidate_n,-0.0069311459041040795,-1,signed_ic_v1,REJECTED
ema_distance,1.0.0,1d,false,12,0.488047159977244,redundant,-0.035472302843655996,-1,signed_ic_v1,REJECTED
funding_acceleration,1.0.0,1d,false,57,0.22859827040296035,outside_candidate_n,0.00022562911190001026,1,signed_ic_v1,REJECTED
funding_rate_level,1.0.0,1d,true,22,0.4079308256381603,top_n,0.01913716021235716,1,signed_ic_v1,SELECTED
funding_rate_momentum,1.0.0,1d,true,9,0.49319299086784735,top_n,0.019779598081884512,1,signed_ic_v1,SELECTED
funding_rate_zscore,1.0.0,1d,false,59,0.17412767162678258,outside_candidate_n,0.0009828303048188556,1,signed_ic_v1,REJECTED
funding_volatility,1.0.0,1d,false,40,0.32589901759744,outside_top_n,-0.019631985665216543,-1,signed_ic_v1,REJECTED
garman_klass_volatility,1.0.0,1d,false,20,0.4232702240156015,redundant,-0.0036817947012048667,-1,signed_ic_v1,REJECTED
historical_volatility,1.0.0,1d,false,21,0.42086272841022526,redundant,-0.005113105943721957,-1,signed_ic_v1,REJECTED
leverage_change,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
linear_regression_r2,1.0.0,1d,false,47,0.2903301620409917,outside_candidate_n,0.0012635508192357947,1,signed_ic_v1,REJECTED
maximum_drawdown,1.0.0,1d,true,13,0.47675081789708995,top_n,0.012517810284099975,1,signed_ic_v1,SELECTED
mean_reversion_score,1.0.0,1d,true,3,0.5801618383458789,top_n,0.020312179748772925,1,signed_ic_v1,SELECTED
momentum,1.0.0,1d,true,28,0.3847966246155049,top_n,-0.023755399625450313,-1,signed_ic_v1,SELECTED
money_flow_index,1.0.0,1d,false,36,0.3442529296302083,outside_top_n,-0.014640262355724826,-1,signed_ic_v1,REJECTED
multi_horizon_momentum,1.0.0,1d,true,6,0.5303857921219582,top_n,-0.024891673531284447,-1,signed_ic_v1,SELECTED
on_balance_volume,1.0.0,1d,false,52,0.2659482758614775,outside_candidate_n,-0.005372652370746089,-1,signed_ic_v1,REJECTED
open_interest_acceleration,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_funding_divergence,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_intensity,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_level,1.0.0,1d,true,1,0.8086726365169807,top_n,0.04197569034133735,1,signed_ic_v1,SELECTED
open_interest_momentum,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_price_divergence,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_trend,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_volatility,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_volume_ratio,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
open_interest_zscore,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
order_flow_momentum,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
parkinson_volatility,1.0.0,1d,true,19,0.4301255852866214,top_n,-0.004229038894606804,-1,signed_ic_v1,SELECTED
price_acceleration,1.0.0,1d,false,34,0.3494938165979901,outside_top_n,-0.012146940045925515,-1,signed_ic_v1,REJECTED
price_oscillator,1.0.0,1d,false,33,0.3655643089782793,outside_top_n,-0.015609263661613495,-1,signed_ic_v1,REJECTED
price_volume_trend,1.0.0,1d,false,42,0.3071195257896322,outside_candidate_n,0.00024158830109473404,1,signed_ic_v1,REJECTED
price_zscore,1.0.0,1d,false,16,0.44595577334215797,redundant,-0.020312179748772925,-1,signed_ic_v1,REJECTED
rate_of_change,1.0.0,1d,false,11,0.49020162024399283,redundant,-0.024452631501550165,-1,signed_ic_v1,REJECTED
recovery_strength,1.0.0,1d,false,30,0.38087621691688306,redundant,-0.017847096893500006,-1,signed_ic_v1,REJECTED
regression_residual,1.0.0,1d,true,14,0.4650495082312298,top_n,-0.026017877829051107,-1,signed_ic_v1,SELECTED
regression_residual_zscore,1.0.0,1d,false,32,0.3725638691330862,outside_top_n,-0.020693338698606074,-1,signed_ic_v1,REJECTED
relative_volume,1.0.0,1d,false,7,0.499699395286418,redundant,-0.03946457513936088,-1,signed_ic_v1,REJECTED
rolling_return_mean,1.0.0,1d,true,31,0.38010733249194023,top_n,-0.01292170988103688,-1,signed_ic_v1,SELECTED
rolling_return_median,1.0.0,1d,false,51,0.2663679315072231,outside_candidate_n,-0.001513134866860083,-1,signed_ic_v1,REJECTED
rsi,1.0.0,1d,true,18,0.4313564247253126,top_n,-0.015365453208834787,-1,signed_ic_v1,SELECTED
signed_volume,1.0.0,1d,false,41,0.0,hard_ineligible,,1,signed_ic_v1,REJECTED
sma_distance,1.0.0,1d,true,4,0.5406641943481205,top_n,-0.03839515934886949,-1,signed_ic_v1,SELECTED
stochastic_d,1.0.0,1d,false,35,0.3460734390691479,outside_top_n,-0.007176080635677876,-1,signed_ic_v1,REJECTED
stochastic_k,1.0.0,1d,false,25,0.4015368772361739,redundant,-0.01036161198419545,-1,signed_ic_v1,REJECTED
trade_intensity,1.0.0,1d,true,5,0.5377642204580763,top_n,-0.04157828265841604,-1,signed_ic_v1,SELECTED
trend_angle,1.0.0,1d,false,38,0.33345999299941453,redundant,-0.015176648141178839,-1,signed_ic_v1,REJECTED
trend_persistence,1.0.0,1d,false,46,0.29261448751660024,outside_candidate_n,-0.0019266303269431088,-1,signed_ic_v1,REJECTED
trend_slope,1.0.0,1d,false,37,0.3335097230200343,outside_top_n,-0.015185422408561964,-1,signed_ic_v1,REJECTED
ulcer_index,1.0.0,1d,false,41,0.3183739355795455,outside_candidate_n,0.000039358450090201985,1,signed_ic_v1,REJECTED
volume_rate_of_change,1.0.0,1d,true,10,0.4911649824180074,top_n,-0.03278757818357852,-1,signed_ic_v1,SELECTED
