factor_name,factor_version,timeframe,selected,selection_rank,selection_score,selection_reason,selection_ic,selected_direction,orientation_policy,status
accumulation_distribution,1.0.0,4h,false,59,0.26050238390970026,outside_candidate_n,-0.0006809858049796815,-1,signed_ic_v1,REJECTED
aggressive_buy_ratio,1.0.0,4h,false,63,0.25367759603759843,outside_candidate_n,-0.0072766485559455545,-1,signed_ic_v1,REJECTED
aggressive_sell_ratio,1.0.0,4h,true,19,0.4441505151018958,top_n,0.0072519357968115926,1,signed_ic_v1,SELECTED
atr_distance,1.0.0,4h,false,55,0.27792446715018215,outside_candidate_n,0.0014481460217432018,1,signed_ic_v1,REJECTED
atr_percent,1.0.0,4h,true,12,0.49889490348383925,top_n,-0.014612527754938716,-1,signed_ic_v1,SELECTED
atr_slope,1.0.0,4h,false,69,0.2419251661600013,outside_candidate_n,-0.00021280749807357611,-1,signed_ic_v1,REJECTED
bollinger_bandwidth,1.0.0,4h,false,15,0.46302078570015903,redundant,-0.016197210697827896,-1,signed_ic_v1,REJECTED
bollinger_position,1.0.0,4h,false,16,0.45723640154819795,redundant,-0.015648201708465988,-1,signed_ic_v1,REJECTED
bollinger_width,1.0.0,4h,false,60,0.25880945070220107,outside_candidate_n,0.0016716030328212184,1,signed_ic_v1,REJECTED
breakout_strength,1.0.0,4h,false,46,0.31991879639828347,outside_candidate_n,0.000651167814312883,1,signed_ic_v1,REJECTED
buy_sell_imbalance,1.0.0,4h,false,61,0.25496056248997534,outside_candidate_n,-0.00940067695498903,-1,signed_ic_v1,REJECTED
chaikin_money_flow,1.0.0,4h,false,41,0.3425327014409958,outside_candidate_n,-0.008575782540129206,-1,signed_ic_v1,REJECTED
choppiness_index,1.0.0,4h,true,21,0.42857581982503146,top_n,0.011298568596753999,1,signed_ic_v1,SELECTED
commodity_channel_index,1.0.0,4h,false,20,0.44084852246828893,redundant,-0.015660966833414492,-1,signed_ic_v1,REJECTED
detrended_price_oscillator,1.0.0,4h,false,70,0.2320925176569532,outside_candidate_n,3.0197779233148755e-6,1,signed_ic_v1,REJECTED
distance_from_high,1.0.0,4h,true,29,0.39578142844658026,top_n,0.005264465995482007,1,signed_ic_v1,SELECTED
distance_from_low,1.0.0,4h,true,6,0.5463401231839021,top_n,-0.016722769840136972,-1,signed_ic_v1,SELECTED
donchian_position,1.0.0,4h,false,30,0.39431886165893065,redundant,-0.008346075552427813,-1,signed_ic_v1,REJECTED
ease_of_movement,1.0.0,4h,false,56,0.27722425903905845,outside_candidate_n,-0.0012811402668106832,-1,signed_ic_v1,REJECTED
efficiency_ratio,1.0.0,4h,false,71,0.22473074796034542,outside_candidate_n,-0.00781982025121661,-1,signed_ic_v1,REJECTED
ema_distance,1.0.0,4h,true,9,0.5220542004617449,top_n,-0.01711085711760079,-1,signed_ic_v1,SELECTED
funding_acceleration,1.0.0,4h,false,47,0.319911258288636,outside_candidate_n,0.010780791295865948,1,signed_ic_v1,REJECTED
funding_rate_level,1.0.0,4h,true,2,0.6264519184353023,top_n,0.03168278570885254,1,signed_ic_v1,SELECTED
funding_rate_momentum,1.0.0,4h,true,24,0.42043921905508574,top_n,0.01537796949429848,1,signed_ic_v1,SELECTED
funding_rate_zscore,1.0.0,4h,false,38,0.3621083652870652,outside_top_n,0.00834207360906067,1,signed_ic_v1,REJECTED
funding_volatility,1.0.0,4h,false,32,0.3813472052758563,outside_top_n,-0.02226443514210071,-1,signed_ic_v1,REJECTED
garman_klass_volatility,1.0.0,4h,false,11,0.5173607618470296,redundant,-0.015823086674047575,-1,signed_ic_v1,REJECTED
historical_volatility,1.0.0,4h,true,7,0.5418945128449509,top_n,-0.019030838887917192,-1,signed_ic_v1,SELECTED
leverage_change,1.0.0,4h,false,64,0.25239569557958663,outside_candidate_n,0.00010312414421730438,1,signed_ic_v1,REJECTED
linear_regression_r2,1.0.0,4h,false,65,0.25025979445620494,outside_candidate_n,0.0002156757672976249,1,signed_ic_v1,REJECTED
maximum_drawdown,1.0.0,4h,true,5,0.5924151732948318,top_n,0.017704050498427222,1,signed_ic_v1,SELECTED
mean_reversion_score,1.0.0,4h,true,1,0.6473827024807445,top_n,0.015648201708466043,1,signed_ic_v1,SELECTED
momentum,1.0.0,4h,false,23,0.4239633716156641,redundant,-0.009295136031687311,-1,signed_ic_v1,REJECTED
money_flow_index,1.0.0,4h,false,44,0.34018728272140786,outside_candidate_n,-0.008251866297480303,-1,signed_ic_v1,REJECTED
multi_horizon_momentum,1.0.0,4h,true,14,0.4651959697846676,top_n,-0.013422328095933795,-1,signed_ic_v1,SELECTED
on_balance_volume,1.0.0,4h,false,62,0.25453066204174285,outside_candidate_n,-0.00024887918521424544,-1,signed_ic_v1,REJECTED
open_interest_acceleration,1.0.0,4h,false,73,0.18423681209256856,outside_candidate_n,-0.002300938836439442,-1,signed_ic_v1,REJECTED
open_interest_funding_divergence,1.0.0,4h,false,48,0.31700359319213856,outside_candidate_n,-0.019097882769178464,-1,signed_ic_v1,REJECTED
open_interest_intensity,1.0.0,4h,false,4,0.6020188782157706,redundant,0.014381859218559806,1,signed_ic_v1,REJECTED
open_interest_level,1.0.0,4h,false,50,0.30352690052569464,outside_candidate_n,0.002039679292614267,1,signed_ic_v1,REJECTED
open_interest_momentum,1.0.0,4h,false,68,0.24268520986982828,outside_candidate_n,-0.0068208053480191475,-1,signed_ic_v1,REJECTED
open_interest_price_divergence,1.0.0,4h,false,37,0.3645729098828039,outside_top_n,0.0003348860538812162,1,signed_ic_v1,REJECTED
open_interest_trend,1.0.0,4h,false,54,0.2892823801025205,outside_candidate_n,-0.006169568359619983,-1,signed_ic_v1,REJECTED
open_interest_volatility,1.0.0,4h,false,53,0.2922162746934155,outside_candidate_n,-0.0026110041704680005,-1,signed_ic_v1,REJECTED
open_interest_volume_ratio,1.0.0,4h,true,3,0.6154203992622407,top_n,0.0146809547283951,1,signed_ic_v1,SELECTED
open_interest_zscore,1.0.0,4h,false,67,0.2477936074654929,outside_candidate_n,-0.010947078036696945,-1,signed_ic_v1,REJECTED
order_flow_momentum,1.0.0,4h,false,66,0.24987372354374984,outside_candidate_n,-0.002743215758638328,-1,signed_ic_v1,REJECTED
parkinson_volatility,1.0.0,4h,false,8,0.5231892468181315,redundant,-0.017158311640198633,-1,signed_ic_v1,REJECTED
price_acceleration,1.0.0,4h,true,31,0.3830841134803494,top_n,-0.005040892912898352,-1,signed_ic_v1,SELECTED
price_oscillator,1.0.0,4h,false,39,0.35793833055666807,outside_top_n,-0.004706606826797219,-1,signed_ic_v1,REJECTED
price_volume_trend,1.0.0,4h,false,57,0.26923844849069334,outside_candidate_n,-0.0004645794431896413,-1,signed_ic_v1,REJECTED
price_zscore,1.0.0,4h,false,17,0.45723640024841034,redundant,-0.015648201708466043,-1,signed_ic_v1,REJECTED
rate_of_change,1.0.0,4h,true,25,0.4081060629119023,top_n,-0.00830091131316219,-1,signed_ic_v1,SELECTED
recovery_strength,1.0.0,4h,false,26,0.40615870152218025,redundant,-0.010940095209361948,-1,signed_ic_v1,REJECTED
regression_residual,1.0.0,4h,true,13,0.4946189667372057,top_n,-0.021751211544379638,-1,signed_ic_v1,SELECTED
regression_residual_zscore,1.0.0,4h,true,27,0.4061133659750032,top_n,-0.016593195915269268,-1,signed_ic_v1,SELECTED
relative_volume,1.0.0,4h,false,33,0.3773926110877304,redundant,-0.024891676031559482,-1,signed_ic_v1,REJECTED
rolling_return_mean,1.0.0,4h,true,22,0.4246147054473575,top_n,-0.007752762400966222,-1,signed_ic_v1,SELECTED
rolling_return_median,1.0.0,4h,false,51,0.3033909293003021,outside_candidate_n,-0.00040841279426450506,-1,signed_ic_v1,REJECTED
rsi,1.0.0,4h,true,18,0.4520189074437815,top_n,-0.01466150885667347,-1,signed_ic_v1,SELECTED
signed_volume,1.0.0,4h,false,58,0.26758721661094376,outside_candidate_n,0.0014786467519653733,1,signed_ic_v1,REJECTED
sma_distance,1.0.0,4h,false,10,0.5214909949760798,redundant,-0.01519160385506456,-1,signed_ic_v1,REJECTED
stochastic_d,1.0.0,4h,false,45,0.3377505190964197,outside_candidate_n,-0.005978469768076444,-1,signed_ic_v1,REJECTED
stochastic_k,1.0.0,4h,false,34,0.3701119269352588,outside_top_n,-0.00790606507497689,-1,signed_ic_v1,REJECTED
trade_intensity,1.0.0,4h,true,28,0.3963599607480849,top_n,-0.024263329096934308,-1,signed_ic_v1,SELECTED
trend_angle,1.0.0,4h,false,42,0.3424011680813239,outside_candidate_n,-0.00019324824676851348,-1,signed_ic_v1,REJECTED
trend_persistence,1.0.0,4h,false,49,0.31380344565623663,outside_candidate_n,-0.00359895632653001,-1,signed_ic_v1,REJECTED
trend_slope,1.0.0,4h,false,43,0.34239705164458323,outside_candidate_n,-0.00019263266526278448,-1,signed_ic_v1,REJECTED
