timeframe,factor_name,factor_version,direction_before,direction_after,in_before,in_after
1d,open_interest_level,1.0.0,1,1,true,true
1d,distance_from_low,1.0.0,-1,-1,true,true
1d,mean_reversion_score,1.0.0,1,1,true,true
1d,sma_distance,1.0.0,-1,-1,true,true
1d,trade_intensity,1.0.0,-1,-1,true,true
1d,multi_horizon_momentum,1.0.0,-1,-1,true,true
1d,bollinger_bandwidth,1.0.0,-1,-1,true,true
1d,funding_rate_momentum,1.0.0,1,1,true,true
1d,volume_rate_of_change,1.0.0,-1,-1,true,true
1d,maximum_drawdown,1.0.0,1,1,true,true
1d,regression_residual,1.0.0,-1,-1,true,true
1d,volume_zscore,1.0.0,-1,-1,true,true
1d,rsi,1.0.0,-1,-1,true,true
1d,parkinson_volatility,1.0.0,-1,-1,true,true
1d,funding_rate_level,1.0.0,1,1,true,true
1d,donchian_position,1.0.0,-1,-1,true,true
1d,choppiness_index,1.0.0,1,1,true,true
1d,momentum,1.0.0,-1,-1,true,true
1d,atr_percent,1.0.0,1,1,true,true
1d,rolling_return_mean,1.0.0,-1,-1,true,true
4h,mean_reversion_score,1.0.0,1,1,true,true
4h,funding_rate_level,1.0.0,1,1,true,true
4h,open_interest_volume_ratio,1.0.0,1,1,true,true
4h,maximum_drawdown,1.0.0,1,1,true,true
4h,distance_from_low,1.0.0,-1,-1,true,true
4h,historical_volatility,1.0.0,-1,-1,true,true
4h,ema_distance,1.0.0,-1,-1,true,true
4h,atr_percent,1.0.0,-1,-1,true,true
4h,regression_residual,1.0.0,-1,-1,true,true
4h,multi_horizon_momentum,1.0.0,-1,-1,true,true
4h,rsi,1.0.0,-1,-1,true,true
4h,aggressive_sell_ratio,1.0.0,1,1,true,true
4h,choppiness_index,1.0.0,1,1,true,true
4h,rolling_return_mean,1.0.0,-1,-1,true,true
4h,funding_rate_momentum,1.0.0,1,1,true,true
4h,rate_of_change,1.0.0,-1,-1,true,true
4h,regression_residual_zscore,1.0.0,-1,-1,true,true
4h,trade_intensity,1.0.0,-1,-1,true,true
4h,distance_from_high,1.0.0,1,1,true,true
4h,price_acceleration,1.0.0,-1,-1,true,true
1h,mean_reversion_score,1.0.0,1,1,true,true
1h,open_interest_intensity,1.0.0,1,1,true,true
1h,distance_from_low,1.0.0,-1,-1,true,true
1h,ema_distance,1.0.0,-1,-1,true,true
1h,multi_horizon_momentum,1.0.0,-1,-1,true,true
1h,regression_residual,1.0.0,-1,-1,true,true
1h,maximum_drawdown,1.0.0,1,1,true,true
1h,momentum,1.0.0,-1,-1,true,true
1h,rate_of_change,1.0.0,-1,-1,true,true
1h,rsi,1.0.0,-1,-1,true,true
1h,signed_volume,1.0.0,1,1,true,true
1h,historical_volatility,1.0.0,-1,-1,true,true
1h,funding_rate_level,1.0.0,1,1,true,true
1h,stochastic_k,1.0.0,-1,-1,true,true
1h,regression_residual_zscore,1.0.0,-1,-1,true,true
1h,price_oscillator,1.0.0,-1,-1,true,true
1h,price_acceleration,1.0.0,-1,-1,true,true
1h,trend_slope,1.0.0,-1,-1,true,true
1h,breakout_strength,1.0.0,-1,-1,true,true
1h,volume_rate_of_change,1.0.0,-1,-1,true,true
15m,mean_reversion_score,1.0.0,1,1,true,true
15m,regression_residual,1.0.0,-1,-1,true,true
15m,ema_distance,1.0.0,-1,-1,true,true
15m,regression_residual_zscore,1.0.0,-1,-1,true,true
15m,distance_from_low,1.0.0,-1,-1,true,true
15m,stochastic_k,1.0.0,-1,-1,true,true
15m,open_interest_intensity,1.0.0,1,1,true,true
15m,rsi,1.0.0,-1,-1,true,true
15m,open_interest_price_divergence,1.0.0,1,1,true,true
15m,rate_of_change,1.0.0,-1,-1,true,true
15m,multi_horizon_momentum,1.0.0,-1,-1,true,true
15m,breakout_strength,1.0.0,-1,-1,true,true
15m,momentum,1.0.0,-1,-1,true,true
15m,funding_rate_level,1.0.0,1,1,true,true
15m,signed_volume,1.0.0,1,1,true,true
15m,price_acceleration,1.0.0,-1,-1,true,true
15m,aggressive_sell_ratio,1.0.0,1,1,true,true
15m,order_flow_momentum,1.0.0,1,1,true,true
15m,money_flow_index,1.0.0,-1,-1,true,true
15m,funding_rate_momentum,1.0.0,1,1,true,true
5m,mean_reversion_score,1.0.0,1,1,true,true
5m,open_interest_price_divergence,1.0.0,1,1,true,true
5m,ema_distance,1.0.0,-1,-1,true,true
5m,distance_from_low,1.0.0,-1,-1,true,true
5m,regression_residual,1.0.0,-1,-1,true,true
5m,rsi,1.0.0,-1,-1,true,true
5m,williams_r,1.0.0,-1,-1,true,true
5m,rolling_return_mean,1.0.0,-1,-1,true,true
5m,regression_residual_zscore,1.0.0,-1,-1,true,true
5m,breakout_strength,1.0.0,-1,-1,true,true
5m,price_oscillator,1.0.0,-1,-1,true,true
5m,price_acceleration,1.0.0,-1,-1,true,true
5m,rolling_return_median,1.0.0,-1,-1,true,true
5m,maximum_drawdown,1.0.0,1,1,true,true
5m,money_flow_index,1.0.0,-1,-1,true,true
5m,trend_persistence,1.0.0,-1,-1,true,true
5m,atr_percent,1.0.0,-1,-1,true,true
5m,open_interest_volume_ratio,1.0.0,1,1,true,true
5m,chaikin_money_flow,1.0.0,-1,-1,true,true
5m,aggressive_sell_ratio,1.0.0,1,1,true,true
