timestamp_utc,pid,process_name,working_set_mb,private_mb,timeframe
2026-08-14T11:07:17.7372377Z,3268,uv,21.99,42.56,1d
2026-08-14T11:07:17.7372377Z,8828,python,3.14,0.85,1d
2026-08-14T11:07:17.7372377Z,12784,python,27.58,16.77,1d
2026-08-14T11:07:24.4582522Z,3268,uv,21.99,42.56,1d
2026-08-14T11:07:24.4582522Z,8828,python,3.14,0.85,1d
2026-08-14T11:07:24.4582522Z,12784,python,62.29,155.89,1d
2026-08-14T11:07:29.7036431Z,3268,uv,21.99,42.52,1d
2026-08-14T11:07:29.7036431Z,8828,python,3.14,0.85,1d
2026-08-14T11:07:29.7036431Z,12784,python,201.78,336.67,1d
2026-08-14T11:07:35.0129659Z,3268,uv,21.99,42.52,1d
2026-08-14T11:07:35.0129659Z,8828,python,3.14,0.85,1d
2026-08-14T11:07:35.0129659Z,12784,python,412.95,566.11,1d
2026-08-14T11:07:40.3085425Z,3268,uv,21.99,42.52,1d
2026-08-14T11:07:40.3085425Z,8828,python,3.14,0.85,1d
2026-08-14T11:07:40.3085425Z,12784,python,602.39,767.58,1d
2026-08-14T11:07:45.6397665Z,3268,uv,21.78,42.52,1d
2026-08-14T11:07:45.6397665Z,8828,python,2.93,0.85,1d
2026-08-14T11:07:45.6397665Z,12784,python,781.52,1249.92,1d
2026-08-14T11:07:51.1141582Z,3268,uv,9.69,42.47,1d
2026-08-14T11:07:51.1141582Z,8828,python,1.96,0.8,1d
2026-08-14T11:07:51.1141582Z,12784,python,489.59,1235.99,1d
2026-08-14T11:07:56.7853689Z,3268,uv,9.69,42.47,1d
2026-08-14T11:07:56.7853689Z,8828,python,1.96,0.8,1d
2026-08-14T11:07:56.7853689Z,12784,python,1142.52,2526.55,1d
2026-08-14T11:08:02.9149375Z,3268,uv,9.69,42.47,1d
2026-08-14T11:08:02.9149375Z,8828,python,1.96,0.8,1d
2026-08-14T11:08:02.9149375Z,12784,python,1472.34,3071,1d
2026-08-14T11:08:09.3206218Z,3268,uv,4.93,42.47,1d
2026-08-14T11:08:09.3206218Z,8828,python,1.05,0.8,1d
2026-08-14T11:08:09.3206218Z,12784,python,1146.21,2072.79,1d
2026-08-14T11:08:15.4564553Z,3268,uv,2.45,42.47,1d
2026-08-14T11:08:15.4564553Z,8828,python,0.56,0.8,1d
2026-08-14T11:08:15.4564553Z,12784,python,1094.73,2186.21,1d
2026-08-14T11:08:20.8384058Z,3268,uv,2.45,42.47,1d
2026-08-14T11:08:20.8384058Z,8828,python,0.56,0.8,1d
2026-08-14T11:08:20.8384058Z,12784,python,1125.68,2149.92,1d
2026-08-14T11:08:26.1275546Z,3268,uv,2.45,42.47,1d
2026-08-14T11:08:26.1275546Z,8828,python,0.56,0.8,1d
2026-08-14T11:08:26.1275546Z,12784,python,1149.73,2154.87,1d
